"","usgs_site","year","start_date","end_date","segment","date","value_std","Flow","quartile","before_count","after_count","fire_period"
"1","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-07-11",28.0756,8.506666667,3,84,87,"Prefire"
"2","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-07-27",25.5878,7.435416667,3,84,87,"Prefire"
"3","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-08-10",26.152,6.8,3,84,87,"Prefire"
"4","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-08-23",24.402,6.23,3,84,87,"Prefire"
"5","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-09-07",25.9112,5.66,2,84,87,"Prefire"
"6","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-09-20",25.487,5.38,2,84,87,"Prefire"
"7","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-03",27.272,6.208333333,3,84,87,"Prefire"
"8","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-17",17.72085,14.27791667,4,84,87,"Prefire"
"9","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-18",21.3619,5.854166667,3,84,87,"Prefire"
"10","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-19",22.6142,5.782916667,3,84,87,"Prefire"
"11","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-21",23.8014,5.405,2,84,87,"Prefire"
"12","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-10-26",24.248,5.642916667,2,84,87,"Prefire"
"13","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-02",2.8294,5.358333333,2,84,87,"Prefire"
"14","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-07",25.5542,5.1,2,84,87,"Prefire"
"15","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-09",7.1886,184.2520833,4,84,87,"Prefire"
"16","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-15",23.6642,5.17,2,84,87,"Prefire"
"17","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-22",23.548,5.1,2,84,87,"Prefire"
"18","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-11-30",13.8712,5.1,2,84,87,"Prefire"
"19","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-02",18.368,22.60083333,4,84,87,"Prefire"
"20","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-03",21.3374,6.301666667,3,84,87,"Prefire"
"21","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-13",25.9616,5.947916667,3,84,87,"Prefire"
"22","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-18",20.58,13.41166667,4,84,87,"Prefire"
"23","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-19",2.9582,6.349583333,3,84,87,"Prefire"
"24","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-26",25.1804,9.40875,3,84,87,"Prefire"
"25","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2005-12-31",12.12225,365.29875,4,84,87,"Prefire"
"26","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-01",10.087,315.1225,4,84,87,"Prefire"
"27","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-02",3.625533333,2517.999583,4,84,87,"Prefire"
"28","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-03",5.3424,221.8733333,4,84,87,"Prefire"
"29","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-11",3.4314,20.33458333,4,84,87,"Prefire"
"30","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-13",19.3018,14.90666667,4,84,87,"Prefire"
"31","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-14",18.5584,24.14875,4,84,87,"Prefire"
"32","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-18",36.351,15.29208333,4,84,87,"Prefire"
"33","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-01-24",2.6936,12.485,4,84,87,"Prefire"
"34","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-01",24.1318,8.96125,3,84,87,"Prefire"
"35","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-07",25.6886,5.66,2,84,87,"Prefire"
"36","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-17",21.6132,12.02833333,4,84,87,"Prefire"
"37","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-18",16.78646667,11.25708333,4,84,87,"Prefire"
"38","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-19",15.8998,39.625,4,84,87,"Prefire"
"39","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-21",33.4586,12.50041667,4,84,87,"Prefire"
"40","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-27",19.87916,338.3741667,4,84,87,"Prefire"
"41","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-02-28",4.1167,746.5808333,4,84,87,"Prefire"
"42","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-03",5.4992,112.1554167,4,84,87,"Prefire"
"43","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-05",7.9352,36.96958333,4,84,87,"Prefire"
"44","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-06",5.45104,140.05,4,84,87,"Prefire"
"45","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-08",8.0864,44.18708333,4,84,87,"Prefire"
"46","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-11",7.5978,66.10166667,4,84,87,"Prefire"
"47","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-14",8.883,29.81291667,4,84,87,"Prefire"
"48","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-15",8.666,32.81958333,4,84,87,"Prefire"
"49","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-17",7.39256,37.99208333,4,84,87,"Prefire"
"50","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-27",7.040133333,19.5475,4,84,87,"Prefire"
"51","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-28",5.6322,331.5316667,4,84,87,"Prefire"
"52","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-03-29",3.9872,172.6825,4,84,87,"Prefire"
"53","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-02",4.669,78.79217391,4,84,87,"Prefire"
"54","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-03",3.82585,2908.884167,4,84,87,"Prefire"
"55","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-04",1.7898,5697.484167,4,84,87,"Prefire"
"56","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-05",2.20976,1814.280833,4,84,87,"Prefire"
"57","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-06",2.8301,757.6708333,4,84,87,"Prefire"
"58","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-07",3.4454,467.8175,4,84,87,"Prefire"
"59","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-09",4.6102,266.65,4,84,87,"Prefire"
"60","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-10",4.5514,233.14,4,84,87,"Prefire"
"61","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-12",5.1408,172.65375,4,84,87,"Prefire"
"62","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-14",3.967133333,237.1616667,4,84,87,"Prefire"
"63","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-04-19",5.5314,122.4508333,4,84,87,"Prefire"
"64","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-05-02",7.7798,76.27583333,4,84,87,"Prefire"
"65","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-05-21",7.056,65.19708333,4,84,87,"Prefire"
"66","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-06-16",23.0118,8.78,3,84,87,"Prefire"
"67","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-07-11",24.5952,9.205,3,84,87,"Prefire"
"68","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-07-26",22.3678,11.18041667,4,84,87,"Prefire"
"69","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-08-09",23.9022,2.98,1,84,87,"Prefire"
"70","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-08-23",55.5828,3.091666667,1,84,87,"Prefire"
"71","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-09-06",9.429,2.98,1,84,87,"Prefire"
"72","sbc_lter_bel",2008,"2008-07-01","2008-07-01","before","2006-09-21",17.8864,2.98,1,84,87,"Prefire"
