"fireid","fireYear","usgs.site","firearea","X0","X1","X2","X3"
"NV4181211632420180817",2018,"USGS-10325000",18175238.2869143,1580740.23550858,6374679.73140319,9845395.1250383,395414.170695466
"NV4181211632420180817",2018,"USGS-10327500",18175238.2869143,1580740.23550858,6374679.73140319,9845395.1250383,395414.170695466
"NV4194911609820180721",2018,"USGS-13181000",21606373.5005903,233240.681479779,7214924.85043658,10101467.7686351,4087359.72610294
"NV4194911609820180721",2018,"USGS-13183000",21606373.5005903,233240.681479779,7214924.85043658,10101467.7686351,4087359.72610294
"NV4194911609820180721",2018,"USGS-13184000",21606373.5005903,233240.681479779,7214924.85043658,10101467.7686351,4087359.72610294
"NV3721011487220190823",2019,"USGS-09415850",12980387.5369348,12981275.8152344,NA,NA,NA
"NV3721011487220190823",2019,"USGS-09416000",12980387.5369348,12981275.8152344,NA,NA,NA
"NV3721011487220190823",2019,"USGS-09419507",12980387.5369348,12981275.8152344,NA,NA,NA
"NV3721011487220190823",2019,"USGS-09419515",12980387.5369348,12981275.8152344,NA,NA,NA
"NV3721011487220190823",2019,"USGS-09415900",12980387.5369348,12981275.8152344,NA,NA,NA
"NV3963011978220190713",2019,"USGS-10348245",2412079.59693687,38891.539185049,1946027.43683364,430196.432306985,NA
"NV4006711564620190902",2019,"USGS-10335000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10336000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10320000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10321000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10322500",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10323400",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10323425",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10323600",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10325000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10327500",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4006711564620190902",2019,"USGS-10333000",824630.494893388,15437.7498391544,160987.0453125,471354.341681985,176787.702251838
"NV4013411644020190722",2019,"USGS-10335000",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10336000",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10323400",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10323425",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10323600",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10325000",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10327500",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4013411644020190722",2019,"USGS-10333000",6316954.8711261,28729.9950061275,3345332.26543352,2945441.46593137,NA
"NV4031211561920190804",2019,"USGS-10335000",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10336000",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10323400",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10320000",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10321000",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10322500",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10323425",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
"NV4031211561920190804",2019,"USGS-10323600",57805796.8063272,377549.255997243,9757770.24858303,40824812.9129825,6906304.02703738
