"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","mean_slope","mean_elev_m","max_elev_m","area_km2","biome_pca"
"R102",0.00815,0.1595,0.108,0.0005566484302209,182.077024,"2025-01-11","bigrock","01.25",22.36,10.884,2.101,35.345,12.985,0.206225,3.406425,48.1775,0.367125,0.19145,4.32328767123288,"montane","2020-09-06","older_burn",30.5023797362083,1935.87621352547,2864.5849609375,59.4209183743902,"forest"
"R103",0.00815,0.176966666666667,1.42072973845657,0.044,16.99008,"2025-01-02","santiago","01.25",3.494,7.644,12.785,23.924,20.429,0.265166666666667,28.2063333333333,202.757166666667,0.012,0.0826666666666667,0.312328767123288,"coastal","2024-09-09","24_25_burn",29.6967996088972,919.707454552801,1731.11450195312,32.595851444213,"shrub_grass"
"R104",1.24233333333333,0.402566666666667,1.013544464,0.03138947205008,NA,"2025-01-04","strawberry","01.25",0.295,0.105,0.005,0.406,0.11,0.0737,9.45325,3.6148,0.00275,0.47415,40,"montane","2018-07-25","older_burn",24.8897059979631,2162.36964816945,3147.91235351562,16.806986760879,"forest"
"R105",1.46366666666667,0.188833333333333,0.108,0.0020771257076141,50.156132,"2025-01-10","waterman","01.25",NA,NA,NA,0.871002977673382,0.871002977673382,0.0982333333333333,12.1888333333333,31.4054333333333,0.254866666666667,0.3641,40,"montane","2021-06-28","older_burn",28.8683821156106,1115.11212513953,1656.54125976562,12.1127842135168,"forest"
"R106",3.80733333333333,0.2359,3.49800882574535,0.108333333333333,1.63059953039093,"2025-01-05","zuma","01.25",34.924,51.234,2.57,88.728,53.804,0.2235,111.987,222.21275,0.1325,0.0012,6.15342465753425,"coastal","2018-11-08","older_burn",17.3339885283703,556.576800683364,762.265441894531,6.9238961530314,"shrub_grass"
"R107",0.00815,0.07981,0.108,0.0011190738952274,36.9062293333332,"2025-01-02","coldwater","01.25",22.794,33.667,34.24,90.701,67.907,0.181,6.0335,63.5875,0.9105,0.60525,6.41095890410959,"coastal","2018-08-06","older_burn",34.1915768958545,980.60266352364,1726.5478515625,10.9421685770979,"shrub_grass"
"R108",3.27766666666667,0.199166666666667,0.5511898869,0.017070350797293,3.73846264400112,"2025-01-05","santaynez","01.25",9.242,21.537,25.243,56.022,46.78,1.16,87.887,635.806,0.034,0.014,0,"coastal","2025-01-07","24_25_burn",21.8752951108559,417.610545174434,643.739074707031,7.81683297534721,"shrub_grass"
"R109",1.00116666666667,0.06302,0.5514981457,0.017079897572329,2.64628860770485,"2025-01-07","pine","01.25",16.501,35.07,35.53,87.101,70.6,0.6847,11.5010333333333,37.7684333333333,0.433366666666667,0.21615,4.39178082191781,"montane","2020-08-12","older_burn",23.2610479231955,1453.29320234927,1668.728515625,3.4009349624221,"forest"
"R110",0.00815,0.177233333333333,0.108,0.0020111069096815,197.95213,"2025-01-02","lytle","01.25",NA,NA,NA,9.92384966251227,9.92384966251227,0.382466666666667,1.7924,27.7913666666667,0.31185,0.349433333333333,0.487671232876712,"montane","2024-07-07","24_25_burn",29.4121351808193,1700.85506086244,3067.9306640625,119.428050318343,"forest"
"R111",1.55,0.075865,1.187559164,0.03677870730908,NA,"2025-01-07","pacoima","01.25",40.406,9.566,0.753,50.725,10.319,0.827333333333333,7.72,138.298166666667,0.0226666666666667,0.0012,8.45205479452055,"montane","2016-07-22","older_burn",29.2629915241228,1237.22919510082,1989.67053222656,65.0362098913649,"shrub_grass"
