Site Name,Data Source,Latitude,Longitude
Bell 3,P. Homyak/E. Hanan,34.199993,-117.780929
Bell 4,P. Homyak/E. Hanan,34.198869,-117.782256
Sycamore Creek (SS),NEON,33.750993,-111.50809
Red Butte Canyon,NEON,40.783934,-111.79789
Teakettle Creek,NEON,36.955931,-119.02736
Blacktail Deer Creek,NEON,44.95011,-110.58715
San Onofre Creek,SBC LTER,34.472,-120.28885
Gaviota Creek,SBC LTER,34.4855,-120.22917
Arroyo Hondo Creek,SBC LTER,34.4752858,-120.14122
Refugio Creek,SBC LTER,34.46573164,-120.06932
Tecolote Creek,SBC LTER,34.440614,-119.917915
Bell Canyon Creek,SBC LTER,34.43854,-119.90563
Devereaux Creek,SBC LTER,34.41761,-119.87406
San Pedro Creek,SBC LTER,34.44861,-119.84028
Atascadero Creek,SBC LTER,34.43226,-119.78414
Arroyo Burro,SBC LTER,34.40505027,-119.74021
Mission Creek at Rocky Nook,SBC LTER,34.44072,-119.71244
Mission Creek,SBC LTER,34.41307303,-119.69499
Rattlesnake Creek,SBC LTER,34.45761111,-119.69222
SYCR_BMW,Grimm,33.732297,-111.519353
SYCR_SS,Grimm,33.753506,-111.505879
