usgs_site,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
sbc_lter_hon,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands","11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76327999961,78810793556.80000305176
sbc_lter_dev,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_gav,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands","11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76327999961,78810793556.80000305176
sbc_lter_mis,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_noo,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_ref,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands","11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76327999961,78810793556.80000305176
sbc_lter_bur,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_ata,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_bel,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_ono,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands","11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76327999961,78810793556.80000305176
sbc_lter_ped,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_tec,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
sbc_lter_rat,11.1.3,Southern and Baja California Pine-Oak Mountains,"11.1",MEDITERRANEAN CALIFORNIA,"11",MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.59330000007,17918708727.50000000000
redb,6.2.13,Wasatch and Uinta Mountains,"6.2",WESTERN CORDILLERA,"6",NORTHWESTERN FORESTED MOUNTAINS,6.2.13  Wasatch and Uinta Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2717065.54222000018,44678392571.09999847412
