DatasetID,LAT,LON,Chemical,State,Watershed,Stream,Date_start,Date_end,Pre-fire: data present,Pre-fire: start date,Pre-fire: end date,Pre-fire: total data points,Pre-fire: data frequency,Post-fire: data present,Post-fire: start date,Post-fire: end date,Post-fire: total data points,Post-fire: data frequency,missing data percentage,reference/links,notes
"Starting from ID1, ID2, ID3…. Each ID represents a same site/watershed/stream/river",,,"If a site has several water chemistry of different lengths of time series, please use one row for each water chemistry (but same ""DatasetID"")",The state where the site is located (2 letter abv.),name or ID of watershed if known,name or ID of stream if known,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),Y or N,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),approximate number of data points each chemical,"if regular sampling, weekly/monthly etc. otherwise, NA",Y or N,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),approximate number of data points each chemical,"if regular sampling, weekly/monthly etc. otherwise, NA",The approximate percent of missing data,,
ID1,34.40505027,-119.74021,NO3,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,NH4,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,PO4,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TDN,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TDP,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TPC,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TPN,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TPP,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,TSS,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,75%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID1,34.40505027,-119.74021,SpecCond,California,,Arroyo Burro,20001023,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,5%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,NH4,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
